Pos,StartNr,Categ,Naam,Teamnaam,Swim,#Swim,Wis1,#W1,Fiets,#Fie,NaFiets,#NaF,Wis2,#W2,Loop,#Loop,Total,Verschil,Status
1,172,D2M,Ricardo Scholten,Save me / Trivana - Weesp,0:24:08,23,0:00:39,22,0:59:25,2,1:24:11,3,0:00:41,22,0:35:49,1,2:00:39,,
2,124,D2M,Tim Hezemans,Triade - Zwolle,0:21:38,2,0:00:37,15,1:00:09,4,1:22:23,2,0:00:42,27,0:37:46,8,2:00:50,0:00:11,
3,123,D2M,Óscar Torrez Fernandez,Triade - Zwolle,0:21:42,3,0:00:31,3,1:02:51,12,1:25:04,7,0:00:38,14,0:36:14,2,2:01:54,0:01:16,
4,164,D2M,Daniel Nagel,Triteam Chalet Beyond - Amersfoort,0:22:51,10,0:00:36,10,1:00:50,6,1:24:16,5,0:00:39,17,0:38:05,11,2:02:59,0:02:21,
5,174,D2M,Machiel Ittmann,Triathlon Soest,0:22:50,9,0:00:52,62,1:00:31,5,1:24:12,4,0:00:37,10,0:38:46,15,2:03:34,0:02:55,
6,117,D2M,Matthijs Künzel,Zwefilo - Langedijk,0:21:59,8,0:00:31,1,1:04:45,29,1:27:14,15,0:01:02,65,0:36:17,3,2:04:32,0:03:54,
7,168,D2M,Stach Aarts,De Dolfijn 3 - Amsterdam,0:26:56,58,0:00:50,58,0:59:25,3,1:27:10,14,0:00:38,15,0:37:02,4,2:04:49,0:04:11,
8,145,D2M,Leon van Hamersveld,AV Nijkerk,0:21:54,6,0:00:39,25,1:03:51,19,1:26:23,10,0:00:36,8,0:37:56,9,2:04:54,0:04:15,
9,152,D2M,Casper van Dam,Team Fysio-Luxor / TV Zeewolde,0:23:28,19,0:00:36,13,1:01:40,7,1:25:43,8,0:00:36,6,0:38:55,16,2:05:13,0:04:35,
10,167,D2M,Coen Boellaard,De Dolfijn 3 - Amsterdam,0:24:10,25,0:00:39,23,1:01:58,8,1:26:46,13,0:00:36,9,0:38:37,13,2:05:59,0:05:20,
11,121,D2M,René Poppe,Triade - Zwolle,0:24:31,28,0:00:45,43,1:03:20,16,1:28:34,18,0:00:40,20,0:37:06,5,2:06:19,0:05:41,
12,122,D2M,Peter van Grootheest,Triade - Zwolle,0:21:33,1,0:00:43,34,1:02:46,11,1:25:02,6,0:00:38,13,0:40:55,33,2:06:34,0:05:55,
13,107,D2M,Izak Hanse,DSTV Aloha - Enschede,0:23:52,22,0:00:42,32,1:03:59,22,1:28:32,17,0:00:44,32,0:37:23,6,2:06:38,0:06:00,
14,173,D2M,Jan Stehouwer,Triathlon Soest,0:22:54,11,0:00:59,67,1:02:10,9,1:26:02,9,0:00:45,38,0:40:33,28,2:07:18,0:06:40,
15,116,D2M,Koen Overmars,Hellas 3 – Utrecht,0:25:13,34,0:00:37,14,1:02:46,10,1:28:35,19,0:00:41,26,0:38:38,14,2:07:54,0:07:15,
16,119,D2M,Eric Wattez,Zwefilo - Langedijk,0:21:57,7,0:00:43,33,1:03:53,20,1:26:32,12,0:00:40,19,0:41:42,41,2:08:53,0:08:14,
17,175,D2M,Gerrit Heusinkveld,Triathlon Soest,0:23:11,16,0:00:44,38,1:04:04,23,1:27:58,16,0:00:46,43,0:40:35,29,2:09:18,0:08:40,
18,113,D2M,Lex Bruggink,Hellas 3 – Utrecht,0:26:58,59,0:00:50,59,1:03:39,18,1:31:26,34,0:00:45,36,0:38:05,10,2:10:14,0:09:36,
19,125,D2M,Marten Visser,TVA 3 - Almere,0:24:59,31,0:00:44,42,1:04:18,27,1:30:01,22,0:00:45,39,0:39:44,23,2:10:29,0:09:50,
20,141,D2M,Donald van Lier,TVH - Hilversum,0:27:00,60,0:00:47,52,1:02:53,13,1:30:39,26,0:00:38,12,0:39:23,19,2:10:38,0:10:00,
21,176,D2M,Niek Visser,Triathlon Soest,0:25:29,38,0:00:47,47,1:04:39,28,1:30:54,28,0:00:44,34,0:39:06,17,2:10:43,0:10:05,
22,115,D2M,Mark Kauw,Hellas 3 – Utrecht,0:25:56,43,0:00:55,64,1:03:37,17,1:30:27,24,0:00:40,21,0:40:43,30,2:11:49,0:11:11,
23,110,D2M,Erwin Hoekstra,AZVD - Duursport DEM - Beverwijk,0:23:15,17,0:00:51,61,1:05:49,43,1:29:53,20,0:01:04,68,0:41:08,34,2:12:04,0:11:26,
24,170,D2M,Gijs Bergman,Save me / Trivana - Weesp,0:26:10,45,0:00:34,7,1:04:11,26,1:30:54,29,0:00:38,11,0:40:45,31,2:12:16,0:11:38,
25,153,D2M,Michel Besseling,AV Triathlon - Amersfoort,0:27:05,61,0:01:22,76,1:05:24,37,1:33:51,53,0:00:59,63,0:37:35,7,2:12:25,0:11:46,
26,171,D2M,Dennis Roeloffzen,Save me / Trivana - Weesp,0:27:09,64,0:01:00,68,1:05:25,38,1:33:33,49,0:00:35,5,0:38:21,12,2:12:28,0:11:49,
27,102,D2M,Corné Kool,VZC 2 - Veenendaal,0:24:16,26,0:00:42,29,1:05:00,32,1:29:56,21,0:00:57,62,0:41:39,40,2:12:32,0:11:53,
28,129,D2M,Dennis Rijnbeek,Trimates 2 - Utrecht,0:21:50,5,0:00:34,6,1:04:05,24,1:26:28,11,0:00:52,52,0:45:17,68,2:12:37,0:11:58,
29,114,D2M,Jeroen Gijzen,Hellas 3 – Utrecht,0:27:21,67,0:00:31,2,1:02:53,14,1:30:44,27,0:00:31,2,0:41:33,38,2:12:47,0:12:09,
30,126,D2M,Stefan Staartjes,TVA 3 - Almere,0:23:07,14,0:00:42,31,1:08:48,61,1:32:37,45,0:00:40,18,0:39:41,22,2:12:57,0:12:18,
31,106,D2M,Thijs Hekman,DSTV Aloha - Enschede,0:23:09,15,0:00:49,57,1:08:37,57,1:32:35,44,0:00:52,51,0:39:40,21,2:13:06,0:12:27,
32,130,D2M,Dennis van Hof,Trimates 2 - Utrecht,0:24:33,29,0:00:38,18,1:05:22,36,1:30:31,25,0:00:41,23,0:42:18,49,2:13:29,0:12:50,
33,149,D2M,Corné Lof,Team Fysio-Luxor / TV Zeewolde,0:26:23,54,0:00:47,49,1:03:06,15,1:30:15,23,0:00:53,53,0:42:38,52,2:13:45,0:13:07,
34,165,D2M,Teun Brinkman,De Dolfijn 3 - Amsterdam,0:26:11,47,0:00:54,63,1:06:35,48,1:33:39,51,0:00:56,57,0:39:17,18,2:13:51,0:13:13,
35,151,D2M,Tom de Jong,Team Fysio-Luxor / TV Zeewolde,0:25:21,36,0:00:37,16,1:05:17,35,1:31:15,33,0:00:57,60,0:41:48,45,2:13:59,0:13:21,
36,133,D2M,Wouter Visch,Triteam Groningen 3,0:27:57,69,0:00:38,20,1:03:55,21,1:32:29,42,0:00:29,1,0:41:11,36,2:14:08,0:13:30,
37,163,D2M,Nick Joswig,Triteam Chalet Beyond - Amersfoort,0:26:20,51,0:00:44,37,1:04:46,30,1:31:48,40,0:00:39,16,0:41:44,43,2:14:10,0:13:32,
38,166,D2M,Erik Brandsma,De Dolfijn 3 - Amsterdam,0:23:01,13,0:00:38,19,1:07:32,54,1:31:10,32,0:00:41,24,0:42:34,51,2:14:24,0:13:46,
