Pos,StartNr,Naam,Race,Cat,Loop1,#L1,Wis1,Fiets,#Fie,NaFiets,#NaF,Wis2,Loop2,#L2,Totaal,DQ
1,5023,Koen de Leeuw,4,H24+,0:08:23,15,0:01:02,0:31:03,2,0:40:27,2,0:00:54,0:17:37,5,0:58:57,
2,6017,Loek Luijbregts,6,H24+,0:08:14,10,0:01:03,0:32:48,13,0:42:04,5,0:00:56,0:17:57,7,1:00:56,
3,3078,Tim Gereedts,3,H24+,0:08:20,13,0:01:09,0:33:17,18,0:42:45,8,0:00:58,0:18:09,10,1:01:51,
4,6039,Matthijs Stam,6,H40+,0:08:56,46,0:01:12,0:31:43,4,0:41:50,4,0:01:05,0:19:15,28,1:02:09,
5,1041,Christiaan van Beusichem,1,H24+,0:07:45,1,0:01:36,0:36:47,88,0:46:07,49,0:01:21,0:15:51,1,1:03:19,
6,6032,Jordi Reedijk,6,H24+,0:08:13,9,0:01:20,0:34:26,33,0:43:59,17,0:01:05,0:18:16,11,1:03:19,
7,1011,Maarten Bakker,1,H16+,0:08:05,6,0:01:18,0:35:28,50,0:44:50,30,0:01:25,0:17:27,4,1:03:41,
8,3021,Tijs van Gemert,3,H40+,0:08:37,23,0:01:23,0:33:06,17,0:43:05,11,0:01:04,0:19:42,42,1:03:50,
9,6020,Johan Vlastuin,6,H24+,0:08:41,27,0:01:11,0:33:21,19,0:43:11,12,0:01:16,0:19:27,34,1:03:54,
10,6053,Ersen Albayrak,6,H16+,0:07:51,2,0:01:02,0:36:27,78,0:45:19,37,0:00:56,0:17:45,6,1:03:59,
11,2108,Mark van Puffelen,2,H24+,0:08:54,41,0:01:28,0:32:30,8,0:42:51,10,0:01:41,0:19:40,39,1:04:10,
12,4008,Volker Voit,4,H24+,0:09:26,93,0:01:01,0:32:21,7,0:42:46,9,0:01:04,0:20:27,75,1:04:16,
13,6059,Niels Baljet,6,H24+,0:07:52,3,0:01:18,0:35:43,60,0:44:52,31,0:01:17,0:18:09,9,1:04:17,
14,6040,Ronald Kohn,6,H40+,0:09:30,103,0:01:12,0:32:44,12,0:43:24,14,0:01:02,0:19:57,48,1:04:22,
15,6103,Maurits Morsink,6,H24+,0:08:15,11,0:01:35,0:35:00,40,0:44:48,29,0:01:16,0:18:29,13,1:04:32,
16,7054,Philip van der Weijde,7,H24+,0:09:31,106,0:01:10,0:33:41,22,0:44:21,23,0:00:55,0:19:17,30,1:04:33,
17,2058,Remco Hoogenboezem,2,H24+,0:09:14,80,0:01:45,0:31:44,5,0:42:42,7,0:01:26,0:20:35,80,1:04:42,
18,2027,Arnold Schoneveld,2,H24+,0:08:27,17,0:01:16,0:34:27,35,0:44:09,21,0:01:15,0:19:25,32,1:04:48,
19,4081,Dennis Heilbron,4,H40+,0:08:48,34,0:01:11,0:34:08,28,0:44:05,19,0:01:19,0:19:25,33,1:04:49,
20,1116,William van der Staaij,1,H24+,0:09:06,64,0:01:33,0:32:42,11,0:43:21,13,0:01:20,0:20:22,70,1:05:01,
21,5090,Dennis van Hof,4,H24+,0:08:54,40,0:01:08,0:34:08,27,0:44:09,20,0:01:03,0:19:52,46,1:05:02,
22,7049,Marten Verduijn,7,H24+,0:08:56,48,0:01:27,0:33:21,20,0:43:43,15,0:01:12,0:20:14,65,1:05:08,
