Pos,StartNr,Naam,Swim,PltsZw,Wiss1,Fiets,PltsFie,NaFiets,Wiss2,Run,PltsRun,Totaal,Pnt,Status,Punten,RankTeam
1,113,Koen Overmars,0:12:13,20,0:01:05,0:28:05,7,0:41:22,0:00:49,0:18:40,9,1:00:51,7,,38,1
2,114,Ron Band,0:12:28,32,0:01:26,0:28:48,13,0:42:41,0:00:54,0:19:24,19,1:02:58,14,,38,1
3,116,Mark Kauw,0:12:23,27,0:01:14,0:29:21,22,0:42:57,0:00:52,0:19:37,24,1:03:25,17,,38,1
4,115,Lex Bruggink,0:12:55,52,0:01:09,0:30:41,47,0:44:44,0:01:00,0:18:19,4,1:04:01,21,,38,1
1,174,Machiel Ittmann,0:11:17,5,0:01:10,0:27:54,6,0:40:20,0:00:54,0:19:18,16,1:00:31,6,,41,2
2,173,Jan Stehouwer,0:11:46,15,0:01:30,0:28:22,10,0:41:37,0:00:47,0:20:03,31,1:02:26,10,,41,2
3,175,Niek Visser,0:12:38,42,0:01:17,0:29:48,28,0:43:42,0:00:42,0:19:49,27,1:04:12,25,,41,2
4,176,Toine Hulshof,0:11:52,17,0:01:41,0:29:31,24,0:43:03,0:00:59,0:22:35,70,1:06:36,46,,41,2
1,121,Tim Hezemans,0:10:57,1,0:01:15,0:26:56,1,0:39:07,0:00:58,0:19:32,22,0:59:36,2,,49,3
2,123,Han Peter Lucas,0:11:20,8,0:01:09,0:27:46,5,0:40:15,0:00:45,0:18:49,10,0:59:48,3,,49,3
3,122,Frank Eggink,0:13:08,57,0:01:09,0:31:44,58,0:46:00,0:00:50,0:19:20,17,1:06:09,44,,49,3
4,124,Arend-Jan van de Hoek,0:13:18,61,0:01:14,0:30:26,40,0:44:57,0:00:58,0:20:46,45,1:06:40,47,,49,3
1,162,Daniel Nagel,0:11:42,14,0:01:19,0:27:36,3,0:40:36,0:00:55,0:18:29,6,0:59:59,4,,52,4
2,161,Wouter Berendsen,0:12:48,47,0:01:11,0:29:04,16,0:43:02,0:00:53,0:19:49,26,1:03:42,20,,52,4
3,163,Roland Wessel,0:12:48,48,0:01:07,0:30:38,46,0:44:32,0:00:58,0:18:59,13,1:04:29,28,,52,4
4,164,Stanley Puijk,0:12:59,55,0:01:55,0:33:03,67,0:47:56,0:00:54,0:22:46,74,1:11:35,73,,52,4
1,171,Ricardo Scholten,0:12:25,29,0:01:19,0:27:35,2,0:41:19,0:00:58,0:19:17,15,1:01:32,8,,63,5
2,170,Dennis Roeloffzen,0:12:46,45,0:01:08,0:30:50,50,0:44:43,0:00:43,0:18:39,7,1:04:04,22,,63,5
3,169,Gijs Bergman,0:12:31,35,0:01:07,0:30:01,31,0:43:38,0:00:51,0:20:17,39,1:04:44,33,,63,5
4,172,Martin Kroes,0:15:03,76,0:01:19,0:30:08,35,0:46:29,0:00:57,0:21:12,57,1:08:37,61,,63,5
1,120,Matthijs Künzel,0:11:20,7,0:00:56,0:28:23,11,0:40:38,0:00:56,0:17:48,1,0:59:21,1,,65,6
2,117,Eric Wattez,0:11:19,6,0:01:18,0:29:57,30,0:42:34,0:00:59,0:20:40,43,1:04:12,24,,65,6
3,119,Michael Emmerik,0:16:42,77,0:01:06,0:28:16,9,0:46:03,0:00:53,0:18:40,8,1:05:35,40,,65,6
4,118,Remco Dekker,0:14:15,70,0:01:19,0:30:34,45,0:46:07,0:01:04,0:21:06,54,1:08:16,59,,65,6
1,106,Izak Hanse,0:11:49,16,0:01:23,0:29:38,26,0:42:49,0:00:58,0:18:27,5,1:02:13,9,,71,7
2,108,Abel Hanse,0:13:21,63,0:01:20,0:29:16,20,0:43:56,0:00:48,0:19:53,29,1:04:35,30,,71,7
3,107,Thijs Hekman,0:11:37,11,0:01:17,0:30:51,51,0:43:44,0:01:00,0:19:54,30,1:04:38,32,,71,7
4,105,Koen Nijland,0:12:53,50,0:01:48,0:30:50,49,0:45:30,0:01:03,0:21:08,56,1:07:40,58,,71,7






1,136,Sjoerd Rep,0:12:22,26,0:01:12,0:29:15,19,0:42:47,0:00:57,0:19:22,18,1:03:05,15,,85,8
2,135,Peter van der Maas,0:12:32,37,0:01:16,0:28:12,8,0:41:59,0:00:49,0:20:50,49,1:03:37,19,,85,8
3,134,Gerard Terwisscha Van Scheltinga,0:14:28,73,0:01:33,0:29:06,17,0:45:06,0:01:03,0:20:47,46,1:06:55,51,,85,8
4,133,Symen de Jong,0:11:39,12,0:01:15,0:32:23,63,0:45:16,0:00:49,0:22:46,73,1:08:50,63,,85,8






1,166,Tjebbe Venema,0:12:16,22,0:01:08,0:27:45,4,0:41:08,0:00:55,0:18:11,3,1:00:12,5,,87,9
2,167,Rick Marsman,0:12:27,30,0:01:03,0:30:23,39,0:43:52,0:00:45,0:19:37,23,1:04:13,26,,87,9
3,168,Teun Brinkman,0:12:47,46,0:01:55,0:31:38,56,0:46:20,0:01:03,0:20:09,34,1:07:32,56,,87,9
4,165,Florian Brunsting,0:14:32,74,0:01:51,0:36:36,77,0:52:57,0:01:00,0:24:58,75,1:18:54,78,,87,9






1,154,Michel Besseling,0:12:31,36,0:01:40,0:30:13,36,0:44:23,0:01:00,0:18:10,2,1:03:33,18,,99,10
2,156,Sven Duits,0:12:49,49,0:01:36,0:30:31,43,0:44:56,0:00:47,0:19:45,25,1:05:27,38,,99,10
3,153,Bert Wallet,0:12:58,54,0:01:34,0:31:48,59,0:46:19,0:00:55,0:18:51,11,1:06:04,43,,99,10
4,155,Erik Verburg,0:12:44,44,0:01:41,0:32:41,65,0:47:05,0:01:09,0:22:05,65,1:10:18,68,,99,10






1,147,Leon van Hamersveld,0:11:07,3,0:01:19,0:30:28,42,0:42:53,0:00:49,0:18:52,12,1:02:34,12,,111,11
2,146,Joost Bokkers,0:12:57,53,0:01:20,0:30:21,38,0:44:37,0:00:59,0:20:56,50,1:06:31,45,,111,11
3,145,Jeroen van der Horst,0:13:02,56,0:01:04,0:31:28,55,0:45:33,0:00:49,0:20:50,47,1:07:11,54,,111,11
