Rank,RaceNrs,Cat,RankCat,Team,Nation,Time,race,date
1,2640-2649,BEDRI,1,Oudman-Valkema Sport,NED,05:48:15,Run Winschoten 12-09-2015,2015-09-12
2,1570-1579,ATLET,1,LSF Münster Männer,GER,05:57:03,Run Winschoten 12-09-2015,2015-09-12
3,1090-1099,ATLET,2,Lionitas | Centric,NED,05:58:19,Run Winschoten 12-09-2015,2015-09-12
4,3340-3349,OVERI,1,Beugel Grondverzet,NED,06:14:18,Run Winschoten 12-09-2015,2015-09-12
5,1050-1059,ATLET,3,GA-LA1,NED,06:14:37,Run Winschoten 12-09-2015,2015-09-12
6,1120-1129,ATLET,4,TeamVroem 1,NED,06:18:57,Run Winschoten 12-09-2015,2015-09-12
7,1560-1569,ATLET,5,"Runners, team Banden Centrum Luikens",NED,06:33:58,Run Winschoten 12-09-2015,2015-09-12
8,5540-5549,112 B,1,Politie Amsterdam,NED,06:50:05,Run Winschoten 12-09-2015,2015-09-12
9,1140-1149,ATLET,6,SV Veendam Atletiek WerkmaX,NED,06:57:09,Run Winschoten 12-09-2015,2015-09-12
10,1060-1069,ATLET,7,GA-LA2,NED,06:58:38,Run Winschoten 12-09-2015,2015-09-12
11,4580-4589,VROUW,1,LSF Münster Frauen,GER,07:01:08,Run Winschoten 12-09-2015,2015-09-12
12,1530-1539,ATLET,8,Loopgroep AG '85 Mannen,NED,07:02:56,Run Winschoten 12-09-2015,2015-09-12
13,1460-1469,ATLET,9,LSV Invictus,NED,07:03:37,Run Winschoten 12-09-2015,2015-09-12
14,1600-1609,ATLET,10,"Runners, team Warmte Techniek Huisman",NED,07:10:23,Run Winschoten 12-09-2015,2015-09-12
15,1130-1139,ATLET,11,TeamVroem 2,NED,07:11:15,Run Winschoten 12-09-2015,2015-09-12
16,4510-4519,VROUW,2,Oudman-Valkema Sport Ladies,NED,07:11:29,Run Winschoten 12-09-2015,2015-09-12
17,1300-1309,ATLET,12,AV Aquilo - AutoServiceCremers (Heren1),NED,07:13:34,Run Winschoten 12-09-2015,2015-09-12
18,3440-3449,OVERI,2,Team Nairobi,NED,07:16:24,Run Winschoten 12-09-2015,2015-09-12
19,3450-3459,OVERI,3,De Beune 1,NED,07:23:11,Run Winschoten 12-09-2015,2015-09-12
20,1320-1329,ATLET,13,Tomme Tomme Survival,NED,07:23:38,Run Winschoten 12-09-2015,2015-09-12
21,3360-3369,OVERI,4,BUVOVV,NED,07:28:37,Run Winschoten 12-09-2015,2015-09-12
22,1500-1509,ATLET,14,AV Fivelstreek 1,NED,07:33:23,Run Winschoten 12-09-2015,2015-09-12
23,1230-1239,ATLET,15,Loopgroep De Drentsche Aa|Goed te passe,NED,07:39:30,Run Winschoten 12-09-2015,2015-09-12
24,1210-1219,ATLET,16,LG Rheiderland Herren Team,GER,07:41:37,Run Winschoten 12-09-2015,2015-09-12
25,2550-2559,BEDRI,2,N.V. Nederlandse Gasunie,NED,07:42:43,Run Winschoten 12-09-2015,2015-09-12
26,4590-4599,VROUW,3,"Runners, team Klok Sport Inn",NED,07:42:49,Run Winschoten 12-09-2015,2015-09-12
27,1170-1179,ATLET,17,Loopgroep Astrea,NED,07:42:52,Run Winschoten 12-09-2015,2015-09-12
28,1240-1249,ATLET,18,Loopgroep De Drentsche Aa|Op rekken goan,NED,07:43:26,Run Winschoten 12-09-2015,2015-09-12
29,3210-3219,OVERI,5,Team 450,NED,07:43:48,Run Winschoten 12-09-2015,2015-09-12
30,3490-3499,OVERI,6,Straaloo,NED,07:55:12,Run Winschoten 12-09-2015,2015-09-12
31,1400-1409,ATLET,19,AV Heerenveen | Heren 1,NED,07:55:32,Run Winschoten 12-09-2015,2015-09-12
32,1000-1009,ATLET,20,AV Haarlem,NED,07:59:10,Run Winschoten 12-09-2015,2015-09-12
33,3390-3399,OVERI,7,RoadRunners,NED,08:00:54,Run Winschoten 12-09-2015,2015-09-12
34,5510-5519,112 B,2,Ambulance,NED,08:01:33,Run Winschoten 12-09-2015,2015-09-12
35,2060-2069,BEDRI,3,P.P.S. Salarisadm. en Adviezen,NED,08:03:49,Run Winschoten 12-09-2015,2015-09-12
36,3880-3889,OVERI,8,grunnpower panda's,NED,08:04:46,Run Winschoten 12-09-2015,2015-09-12
37,2070-2079,BEDRI,4,Rijschool Edwin Hillenga 1,NED,08:05:25,Run Winschoten 12-09-2015,2015-09-12
38,3380-3389,OVERI,9,Team Bijvoet +,NED,08:05:48,Run Winschoten 12-09-2015,2015-09-12
39,3850-3859,OVERI,10,autoserviceVeendam|LubbersAGF Winschoten,NED,08:06:22,Run Winschoten 12-09-2015,2015-09-12
40,5550-5559,112 B,3,Politie Groningen,NED,08:06:34,Run Winschoten 12-09-2015,2015-09-12
41,1200-1209,ATLET,21,Loopgroep Beilen,NED,08:06:50,Run Winschoten 12-09-2015,2015-09-12
42,1150-1159,ATLET,22,LT TuRa 07 Westrhauderfehn,GER,08:08:23,Run Winschoten 12-09-2015,2015-09-12
43,3920-3929,OVERI,11,SVK Runners,NED,08:09:19,Run Winschoten 12-09-2015,2015-09-12
44,1420-1429,ATLET,23,Loopgroep Roden,NED,08:09:34,Run Winschoten 12-09-2015,2015-09-12
