Plts,StNr,Team,Cat,Zwem,#Z,T1+Fiets,#T1+F,NaFiets,#NaF,T2+Loop,#T2+L,Totaal,DQ,race,date
1,327,185  /  Bioracer,MG,00:04:53,1,00:39:00,1,00:43:52,1,00:23:06,3,01:06:57,,BIRatlon ,2017-07-01
2,326,Snoor en co,MG,00:06:21,5,00:39:30,2,00:45:50,2,00:21:29,1,01:07:19,,BIRatlon ,2017-07-01
3,322,Op 't Nipperke,MG,00:05:44,2,00:41:14,10,00:46:57,4,00:22:51,2,01:09:48,,BIRatlon ,2017-07-01
4,335,BIR,MG,00:06:01,3,00:40:59,9,00:46:59,5,00:23:18,4,01:10:16,,BIRatlon ,2017-07-01
5,306,Hipster Delight,MG,00:06:15,4,00:39:37,3,00:45:52,3,00:26:52,9,01:12:43,,BIRatlon ,2017-07-01
6,325,Zamma,MG,00:08:39,26,00:42:12,12,00:50:50,13,00:23:44,5,01:14:34,,BIRatlon ,2017-07-01
7,314,KFC Sint-lenaarts,MG,00:07:13,9,00:40:25,6,00:47:37,8,00:27:15,11,01:14:51,,BIRatlon ,2017-07-01
8,332,Vet en geen Vet,MG,00:07:50,17,00:42:44,14,00:50:34,12,00:24:26,6,01:14:59,,BIRatlon ,2017-07-01
9,324,The Tornado's,MG,00:07:12,8,00:40:24,5,00:47:36,7,00:29:53,20,01:17:28,,BIRatlon ,2017-07-01
10,304,V3,MG,00:08:43,27,00:42:34,13,00:51:16,15,00:26:25,7,01:17:41,,BIRatlon ,2017-07-01
11,318,TJT,MG,00:07:24,12,00:40:10,4,00:47:34,6,00:31:01,31,01:18:34,,BIRatlon ,2017-07-01
12,334,LUYCKX,MG,00:07:42,16,00:40:58,8,00:48:40,10,00:29:58,22,01:18:38,,BIRatlon ,2017-07-01
13,329,DECLO,MG,00:07:25,13,00:43:55,17,00:51:19,17,00:27:54,13,01:19:13,,BIRatlon ,2017-07-01
14,323,slider,MG,00:07:22,11,00:46:09,25,00:53:30,21,00:26:41,8,01:20:11,,BIRatlon ,2017-07-01
15,301,FAR OUT,MG,00:09:56,37,00:43:32,16,00:53:28,20,00:26:55,10,01:20:23,,BIRatlon ,2017-07-01
16,307,HKK,MG,00:09:07,32,00:41:24,11,00:50:31,11,00:29:55,21,01:20:26,,BIRatlon ,2017-07-01
17,319,Kzen jemmel teine,MG,00:07:17,10,00:43:59,18,00:51:15,14,00:29:48,19,01:21:03,,BIRatlon ,2017-07-01
18,333,Op t laatste moment,MG,00:08:05,22,00:43:13,15,00:51:17,16,00:30:38,27,01:21:54,,BIRatlon ,2017-07-01
19,337,Tarzanrun team,MG,00:08:10,23,00:45:18,21,00:53:27,19,00:29:26,17,01:22:53,,BIRatlon ,2017-07-01
20,315,S&P,MG,00:06:40,6,00:46:54,28,00:53:33,22,00:30:00,24,01:23:33,,BIRatlon ,2017-07-01
21,336,The Sugarbellys,MG,00:08:00,19,00:48:15,31,00:56:15,29,00:28:15,15,01:24:30,,BIRatlon ,2017-07-01
22,313,BADman en co,MG,00:08:51,28,00:45:15,20,00:54:06,23,00:30:27,26,01:24:32,,BIRatlon ,2017-07-01
23,320,Apollo XIII,MG,00:07:56,18,00:47:31,30,00:55:26,27,00:30:00,23,01:25:26,,BIRatlon ,2017-07-01
24,366,Posthuisduifkes,V,00:09:05,31,00:46:06,24,00:55:10,26,00:30:38,28,01:25:48,,BIRatlon ,2017-07-01
25,364,Vet-ladies 2,V,00:08:25,24,00:46:03,23,00:54:28,25,00:31:30,33,01:25:57,,BIRatlon ,2017-07-01
26,363,VET ladies1,V,00:09:23,34,00:46:45,27,00:56:07,28,00:30:47,29,01:26:54,,BIRatlon ,2017-07-01
27,302,KHH Racing Team,MG,00:12:54,43,00:46:33,26,00:59:27,32,00:27:52,12,01:27:18,,BIRatlon ,2017-07-01
28,339,NOVOX,MG,,,,,,,,,01:27:51,,BIRatlon ,2017-07-01
29,338,Drietand,MG,00:10:43,40,00:45:54,22,00:56:37,30,00:32:25,34,01:29:02,,BIRatlon ,2017-07-01
30,305,BRANDWEER ASSE,MG,00:07:12,7,00:46:58,29,00:54:09,24,00:35:46,36,01:29:54,,BIRatlon ,2017-07-01
31,312,Team VRINTS,MG,00:09:04,30,00:53:32,37,01:02:35,39,00:28:07,14,01:30:42,,BIRatlon ,2017-07-01
32,309,SerGlePil,MG,00:08:03,21,00:54:27,39,01:02:29,37,00:28:16,16,01:30:45,,BIRatlon ,2017-07-01
33,365,VET - Ladies 3,V,00:11:12,42,00:49:07,33,01:00:18,34,00:30:58,30,01:31:15,,BIRatlon ,2017-07-01
