Pos,StartNr,Team,Cat,Loop,#Loop,Wis1,#Wis1,Fiets,#Fie,NaFiets,#NaF,Wis2,#Wis2,Schaats,#Sch,Totaal,DQ,race,date
1,528,Samen Ijzersterk,ESTH,00:36:47,7,00:00:45,1,01:08:56,1,01:46:27,2,00:01:03,1,00:29:01,2,02:16:30,,9e Winter Triathlon Twente ,2017-03-25
2,532,Owc Amateurs,ESTH,00:34:29,2,00:00:54,15,01:10:16,3,01:45:38,1,00:01:16,9,00:29:47,3,02:16:40,,9e Winter Triathlon Twente ,2017-03-25
3,502,VIRO 1,ESTH,00:35:35,4,00:00:53,12,01:11:06,4,01:47:33,3,00:01:14,4,00:28:59,1,02:17:44,,9e Winter Triathlon Twente ,2017-03-25
4,525,Ut Toppers,ESTH,00:34:13,1,00:00:49,6,01:12:50,6,01:47:50,4,00:01:06,2,00:30:50,4,02:19:45,,9e Winter Triathlon Twente ,2017-03-25
5,548,Tjellens 2,ESTH,00:35:35,5,00:00:47,3,01:12:51,7,01:49:12,5,00:01:16,10,00:30:59,5,02:21:26,,9e Winter Triathlon Twente ,2017-03-25
6,547,Tjellens 1,ESTH,00:35:22,3,00:01:00,22,01:15:19,9,01:51:40,7,00:01:20,14,00:31:02,6,02:24:02,,9e Winter Triathlon Twente ,2017-03-25
7,549,Tjellens 3,ESTH,00:37:11,8,00:00:45,2,01:13:01,8,01:50:56,6,00:01:06,3,00:32:52,13,02:24:53,,9e Winter Triathlon Twente ,2017-03-25
8,546,Twente Milieu,ESTH,00:35:41,6,00:00:53,11,01:19:47,17,01:56:20,8,00:01:23,17,00:32:29,9,02:30:11,,9e Winter Triathlon Twente ,2017-03-25
9,536,Skeuvel Masters,ESTH,00:43:34,21,00:01:05,30,01:15:59,10,02:00:37,11,00:01:25,22,00:32:27,8,02:34:27,,9e Winter Triathlon Twente ,2017-03-25
10,513,Thales One,ESTH,00:43:28,20,00:01:11,40,01:16:05,11,02:00:43,12,00:01:23,18,00:33:43,16,02:35:49,,9e Winter Triathlon Twente ,2017-03-25
11,531,Net EvenAnders,ESTD,00:43:01,17,00:00:50,7,01:19:13,16,02:03:03,15,00:01:15,7,00:31:42,7,02:35:59,,9e Winter Triathlon Twente ,2017-03-25
12,521,Rbs Team,ESTH,00:37:32,9,00:00:52,8,01:23:39,20,02:02:02,14,00:01:17,12,00:33:47,17,02:37:04,,9e Winter Triathlon Twente ,2017-03-25
13,509,Sensata-2jb1ad,ESTH,00:44:17,23,00:00:49,4,01:16:19,12,02:01:24,13,00:01:14,6,00:35:10,21,02:37:47,,9e Winter Triathlon Twente ,2017-03-25
14,501,VIRO 2,ESTH,00:45:45,27,00:00:53,14,01:17:11,13,02:03:48,17,00:01:17,13,00:33:14,15,02:38:19,,9e Winter Triathlon Twente ,2017-03-25
15,500,VIRO 3,ESTH,00:42:53,16,00:00:53,13,01:21:42,18,02:05:27,19,00:01:24,19,00:32:41,12,02:39:32,,9e Winter Triathlon Twente ,2017-03-25
