Pos,StartNr,Team,Cat,Loop,#Loop,Wis1,#Wis1,Fiets,#Fie,NaFiets,#NaF,Wis2,#Wis2,Schaats,#Sch,Totaal,DQ,race,date
1,389,Team CsvVriezenveen,ESTH,00:17:41,3,00:00:49,3,00:33:29,3,00:51:58,1,00:01:06,2,00:15:12,1,01:08:15,,9e Winter Triathlon Twente ,2017-03-25
2,384,Mpm Hengelo,ESTH,00:17:18,1,00:00:52,6,00:33:54,5,00:52:02,3,00:01:02,1,00:15:13,2,01:08:16,,9e Winter Triathlon Twente ,2017-03-25
3,391,Tjellens Sprinters 1,ESTH,00:18:10,5,00:00:48,2,00:33:08,2,00:52:05,4,00:01:08,3,00:16:02,10,01:09:13,,9e Winter Triathlon Twente ,2017-03-25
4,383,Team Visionsports,ESTH,00:19:35,9,00:00:49,4,00:31:38,1,00:52:02,2,00:01:11,4,00:16:45,12,01:09:57,,9e Winter Triathlon Twente ,2017-03-25
5,385,Team Energy,ESTH,00:18:11,6,00:00:54,9,00:33:42,4,00:52:46,5,00:01:13,5,00:16:23,11,01:10:21,,9e Winter Triathlon Twente ,2017-03-25
6,375,Team Vitameals,ESTH,00:17:59,4,00:00:57,15,00:34:47,7,00:53:42,6,00:01:36,25,00:15:35,8,01:10:52,,9e Winter Triathlon Twente ,2017-03-25
7,392,Tjellens Sprinters 2,ESTH,00:17:30,2,00:00:47,1,00:36:22,10,00:54:38,7,00:01:14,7,00:15:14,3,01:11:05,,9e Winter Triathlon Twente ,2017-03-25
8,362,Hijc Marathonteam,ESTH,00:21:09,12,00:00:55,13,00:35:11,8,00:57:14,10,00:01:13,6,00:15:35,9,01:14:02,,9e Winter Triathlon Twente ,2017-03-25
9,388,Ongeloveloos,ESTH,00:21:03,11,00:00:59,19,00:36:45,12,00:58:46,11,00:01:20,10,00:15:17,4,01:15:22,,9e Winter Triathlon Twente ,2017-03-25
10,366,Broertjes van Harms,ESTH,00:21:47,16,00:00:58,17,00:34:28,6,00:57:13,9,00:02:00,30,00:17:04,14,01:16:16,,9e Winter Triathlon Twente ,2017-03-25
11,370,Tartlétos,ESTH,00:19:34,8,00:00:54,7,00:35:37,9,00:56:03,8,00:01:51,28,00:19:03,22,01:16:56,,9e Winter Triathlon Twente ,2017-03-25
12,373,Hyro SportsTeam1,ESTH,00:21:31,15,00:01:01,20,00:36:30,11,00:59:01,12,00:01:17,9,00:17:13,17,01:17:31,,9e Winter Triathlon Twente ,2017-03-25
13,360,Hardcoreteamplay,ESTH,00:23:49,20,00:00:50,5,00:37:19,15,01:01:56,14,00:01:25,17,00:15:26,7,01:18:46,,9e Winter Triathlon Twente ,2017-03-25
14,367,De BeukErin,ESTH,00:19:19,7,00:01:03,22,00:41:39,23,01:02:00,15,00:01:23,15,00:16:54,13,01:20:16,,9e Winter Triathlon Twente ,2017-03-25
