Pos,StartNr,Team,Teamleden,Loop,#Loop,Wissel1,#Wis1,Fiets,#Fie,NaFiets,#NaF,Wissel2,#Wis2,Schaats,#Sch,Totaal,DQ,race,date
1,5,Mjm,SINT JANSKLOOSTER,00:38:30,4,00:01:19,3,01:01:39,1,01:41:27,1,00:02:29,2,00:31:25,1,02:15:21,,Global Textware NK Wintertriathlon Groningen 04-03-2017,2017-03-05
2,10,De Burgerlullen,GRONINGEN,00:36:48,2,00:01:15,1,01:09:55,4,01:47:56,4,00:02:17,1,00:31:37,2,02:21:49,,Global Textware NK Wintertriathlon Groningen 04-03-2017,2017-03-05
3,11,De Mongolenwaaier,GRONINGEN,00:36:08,1,00:01:21,4,01:08:26,3,01:45:55,3,00:03:50,11,00:38:31,8,02:28:15,,Global Textware NK Wintertriathlon Groningen 04-03-2017,2017-03-05
4,8,Toutatis AndFriend,GRONINGEN,00:38:55,5,00:01:23,5,01:04:27,2,01:44:44,2,00:03:31,10,00:42:21,10,02:30:35,,Global Textware NK Wintertriathlon Groningen 04-03-2017,2017-03-05
5,13,2brake4,WINSUM,00:39:49,6,00:01:16,2,01:13:21,5,01:54:25,6,00:02:49,6,00:36:04,4,02:33:17,,Global Textware NK Wintertriathlon Groningen 04-03-2017,2017-03-05
6,12,Buvovv,LEEK,00:37:23,3,00:01:30,7,01:15:07,6,01:53:59,5,00:03:02,8,00:36:21,5,02:33:21,,Global Textware NK Wintertriathlon Groningen 04-03-2017,2017-03-05
7,9,De Droughe Huijgh,Wervershoof,00:46:12,11,00:01:29,6,01:16:25,7,02:04:06,7,00:02:35,3,00:34:29,3,02:41:09,,Global Textware NK Wintertriathlon Groningen 04-03-2017,2017-03-05
8,15,Groep Rawee,ONNEN,00:45:15,10,00:01:40,12,01:17:44,8,02:04:37,8,00:04:43,13,00:41:00,9,02:50:19,,Global Textware NK Wintertriathlon Groningen 04-03-2017,2017-03-05
9,1,De DrieMusketiersVanVanWijnen,GRONINGEN,00:44:58,9,00:01:31,9,01:27:14,12,02:13:43,12,00:03:00,7,00:37:32,7,02:54:13,,Global Textware NK Wintertriathlon Groningen 04-03-2017,2017-03-05
10,6,Aldwâldbûtenpostcombinatie,OUDWOUDE,00:53:11,13,00:01:57,14,01:19:25,9,02:14:32,13,00:03:19,9,00:37:06,6,02:54:55,,Global Textware NK Wintertriathlon Groningen 04-03-2017,2017-03-05
11,7,Dgs,ASSEN,00:44:31,8,00:01:35,11,01:25:52,11,02:11:58,10,00:02:46,5,00:42:55,11,02:57:38,,Global Textware NK Wintertriathlon Groningen 04-03-2017,2017-03-05
12,3,De Jagers,IJLST,00:40:34,7,00:01:30,8,01:31:36,14,02:13:39,11,00:02:43,4,00:45:08,12,03:01:30,,Global Textware NK Wintertriathlon Groningen 04-03-2017,2017-03-05
13,4,Gpa GemeenteAssen,STEENWIJK,00:48:56,12,00:01:50,13,01:20:45,10,02:11:30,9,00:04:23,12,00:45:56,13,03:01:48,,Global Textware NK Wintertriathlon Groningen 04-03-2017,2017-03-05
14,2,De Smetskes,ASSEN,00:56:57,14,00:01:35,10,01:31:26,13,02:29:57,14,00:04:51,14,,0,,,Global Textware NK Wintertriathlon Groningen 04-03-2017,2017-03-05
