Plts,Team,Ronden,Punten,Tijd,race,date
1,Bloedlink A (Apeldoorn),6,552,01:01:55,Nieuwjaarsloop Gelre Ziekenhuizen ,2018-01-12
2,OK Zutphen,6,533,01:02:55,Nieuwjaarsloop Gelre Ziekenhuizen ,2018-01-12
3,Safety first,6,512,01:24:59,Nieuwjaarsloop Gelre Ziekenhuizen ,2018-01-12
4,De versnellers,6,508,01:07:05,Nieuwjaarsloop Gelre Ziekenhuizen ,2018-01-12
5,SNAQtime (SuperNutritionAdviceQueens),6,508,01:13:19,Nieuwjaarsloop Gelre Ziekenhuizen ,2018-01-12
6,RUN-ADC,6,505,01:13:04,Nieuwjaarsloop Gelre Ziekenhuizen ,2018-01-12
7,ZGA Huisje 4,6,498,01:09:15,Nieuwjaarsloop Gelre Ziekenhuizen ,2018-01-12
8,GGNet Ouderen,6,498,01:20:11,Nieuwjaarsloop Gelre Ziekenhuizen ,2018-01-12
9,#TeamKnotNL,6,497,01:06:58,Nieuwjaarsloop Gelre Ziekenhuizen ,2018-01-12
10,Bloedlink B,6,496,01:19:58,Nieuwjaarsloop Gelre Ziekenhuizen ,2018-01-12
11,Ratjetoe,6,496,01:20:37,Nieuwjaarsloop Gelre Ziekenhuizen ,2018-01-12
12,In control,6,491,01:05:27,Nieuwjaarsloop Gelre Ziekenhuizen ,2018-01-12
13,Het IC team,6,490,01:24:02,Nieuwjaarsloop Gelre Ziekenhuizen ,2018-01-12
14,B6-mixteam 2,6,489,01:13:24,Nieuwjaarsloop Gelre Ziekenhuizen ,2018-01-12
15,Een blauwtje lopen,6,487,01:15:49,Nieuwjaarsloop Gelre Ziekenhuizen ,2018-01-12
16,B6-mixteam 1,6,486,01:13:03,Nieuwjaarsloop Gelre Ziekenhuizen ,2018-01-12
17,SPEED,6,476,01:12:24,Nieuwjaarsloop Gelre Ziekenhuizen ,2018-01-12
18,BI Sprinters,6,476,01:13:32,Nieuwjaarsloop Gelre Ziekenhuizen ,2018-01-12
19,Bronsbergers gaan voor goud,6,466,01:11:11,Nieuwjaarsloop Gelre Ziekenhuizen ,2018-01-12
20,De Dagaanbieding,6,466,01:17:37,Nieuwjaarsloop Gelre Ziekenhuizen ,2018-01-12
21,De vrije radicalen,6,465,01:10:18,Nieuwjaarsloop Gelre Ziekenhuizen ,2018-01-12
22,We run your ERP,6,463,01:06:26,Nieuwjaarsloop Gelre Ziekenhuizen ,2018-01-12
23,Team Geriatrie,6,463,01:18:39,Nieuwjaarsloop Gelre Ziekenhuizen ,2018-01-12
24,Drugsrunners,6,462,01:19:34,Nieuwjaarsloop Gelre Ziekenhuizen ,2018-01-12
25,POINT(er) sisters,6,462,01:20:01,Nieuwjaarsloop Gelre Ziekenhuizen ,2018-01-12
26,ZGA Running Team,6,459,01:30:32,Nieuwjaarsloop Gelre Ziekenhuizen ,2018-01-12
27,Acute Opname Team 2,6,451,01:21:45,Nieuwjaarsloop Gelre Ziekenhuizen ,2018-01-12
28,Marvel Heroes,6,435,01:21:07,Nieuwjaarsloop Gelre Ziekenhuizen ,2018-01-12
29,Fysiotherapie,6,422,01:13:37,Nieuwjaarsloop Gelre Ziekenhuizen ,2018-01-12
30,Bacterie Busters,6,420,01:17:31,Nieuwjaarsloop Gelre Ziekenhuizen ,2018-01-12
31,Acute Opname Team,6,403,01:17:10,Nieuwjaarsloop Gelre Ziekenhuizen ,2018-01-12
